t-values,x-values
0,0
0.2,3.6063
0.4,7.2126
0.6,10.8189
0.8,14.4252
1,18.0315
1.2,21.6378
1.4,25.2441
1.6,28.8504
1.8,32.4567
2,36.063
2.2,39.6693
2.4,43.2756
2.6,46.8819
2.8,50.4882
3,54.0945
3.2,57.7008
3.4,61.3071
3.6,64.9134
3.8,68.5197
4,72.126
4.2,72.9202
4.4,73.7145
4.6,74.5088
4.8,75.303
5,76.0973
5.2,76.8915
5.4,77.6858
5.6,78.48
5.8,79.2743
6,80.0685
6.2,80.8628
6.4,81.657
6.6,82.4513
6.8,83.2455
7,84.0398
7.2,84.834
7.4,85.6283
7.6,86.4225
7.8,86.6579
8,86.8933
8.2,87.1287
8.4,87.3641
8.6,87.5995
8.8,87.8349
9,88.0703
9.2,88.3057
9.4,88.5411
9.6,88.7765
